barrio_id,name,kod_auzo
aiete,Aiete,1
altza,Altza,2
amaraberri,Amara Berri,3
antigua,Antiguo,4
ategorrieta-ulia,Ategorrieta-Ulia,6
anorga,Añorga,5
egia,Egia,8
erdialdea,Erdialdea (Centro),7
gros,Gros,9
ibaeta,Ibaeta,10
igeldo,Igeldo,11
intxaurrondo,Intxaurrondo,12
landerbaso,Landerbaso,18
loiola,Loiola,13
martutene,Martutene,14
mirakruz-bidebieta,Mirakruz-Bidebieta,15
miramon-zorroaga,Miramón-Zorroaga,16
oarain,Oarain,19
zubieta,Zubieta,17
