series_id,label,theme,unit,year,month,value,source
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2007,11,63759.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2007,12,50218.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2008,1,43205.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2008,2,48272.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2008,3,61684.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2008,4,62683.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2008,5,83158.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2008,6,79007.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2008,7,103967.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2008,8,117021.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2008,9,86017.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
overnight_stays,Pernottamenti totali (hotel),tourism,pernottamenti,2008,10,74263.0,"INE — Encuesta de Ocupación Hotelera, tabla 2078 (puntos turísticos)"
