metric_id,label,theme,unit,barrio_id,barrio_name,period,value,source
ageing_index,Índice de vejez (≥65 / <15),demography,,altza,Altza,2015,149.5,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,altza,Altza,2016,152.2,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,altza,Altza,2017,159.0,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,altza,Altza,2018,165.7,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,altza,Altza,2019,175.4,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,altza,Altza,2020,184.4,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,altza,Altza,2021,192.6,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,altza,Altza,2022,199.0,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,altza,Altza,2023,202.4,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,altza,Altza,2024,208.4,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,altza,Altza,2025,217.6,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,amaraberri,Amara Berri,2000,189.0,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,amaraberri,Amara Berri,2001,196.4,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,amaraberri,Amara Berri,2002,204.8,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,amaraberri,Amara Berri,2003,206.6,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,amaraberri,Amara Berri,2004,210.0,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,amaraberri,Amara Berri,2005,216.2,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,amaraberri,Amara Berri,2006,213.3,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,amaraberri,Amara Berri,2007,208.2,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,amaraberri,Amara Berri,2008,203.6,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,amaraberri,Amara Berri,2009,205.1,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,amaraberri,Amara Berri,2010,199.3,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,amaraberri,Amara Berri,2011,196.0,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,amaraberri,Amara Berri,2012,191.5,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,amaraberri,Amara Berri,2013,191.2,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,amaraberri,Amara Berri,2014,184.0,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,amaraberri,Amara Berri,2015,183.7,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,amaraberri,Amara Berri,2016,179.7,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,amaraberri,Amara Berri,2017,183.5,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,amaraberri,Amara Berri,2018,184.7,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,amaraberri,Amara Berri,2019,185.0,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,amaraberri,Amara Berri,2020,191.8,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,amaraberri,Amara Berri,2021,196.6,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,amaraberri,Amara Berri,2022,201.2,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,amaraberri,Amara Berri,2023,212.5,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,amaraberri,Amara Berri,2024,219.2,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,amaraberri,Amara Berri,2025,229.2,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,anorga,Añorga,2000,108.1,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,anorga,Añorga,2001,101.7,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,anorga,Añorga,2002,102.7,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,anorga,Añorga,2003,104.9,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,anorga,Añorga,2004,97.1,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,anorga,Añorga,2005,104.9,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,anorga,Añorga,2006,109.9,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,anorga,Añorga,2007,116.8,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,anorga,Añorga,2008,127.9,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,anorga,Añorga,2009,127.1,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,anorga,Añorga,2010,130.5,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,anorga,Añorga,2011,136.4,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,anorga,Añorga,2012,143.8,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,anorga,Añorga,2013,153.8,Donostia Open Data — población por edad y género por barrio (Padrón)
ageing_index,Índice de vejez (≥65 / <15),demography,,anorga,Añorga,2014,155.5,Donostia Open Data — población por edad y género por barrio (Padrón)
