street_code,name_es,name_eu,lon,lat,units,vut,hut,beds
2160,"Intxaurrondo, Calle de",Intxaurrondo Kalea,-1.954124,43.321008,2,1,1,6
2430,"Juan de Bilbao, Calle de",Joan De Bilbao Kalea,-1.984992,43.324011,2,2,0,16
2480,"Julio Urkixo, Paseo de",Julio Urkixo Pasealekua,-1.941472,43.323449,2,2,0,8
2760,"Luises, Calle de los",Luistarren Kalea,-1.955207,43.31944,2,2,0,8
2770,"Luises Obreros, Plaza de los",Luistar Langileen Plaza,-1.976015,43.323452,2,2,0,7
2785,"Felisa Martín Bravo, Avenida de",Felisa Martin Bravo Hiribidea,-1.961562,43.304876,2,1,1,10
2820,"Maestro Guridi, Calle del",Guridi Musikariaren Kalea,-2.004687,43.312881,2,2,0,8
290,"Ametzagaña, Calle de",Ametzagaña Kalea,-1.968702,43.317168,2,1,1,6
3250,"Muelle, Paseo del",Kaiko Pasealekua,-1.990719,43.322876,2,2,0,9
3550,"Oiartzun, Calle de",Oiartzun Kalea,-1.968123,43.322758,2,2,0,7
3610,"Palacio, Calle del",Jauregi Kalea,-1.99818,43.311329,2,2,0,13
3840,"Pío XII, Plaza de",Pio Xii.Aren Plaza,-1.979515,43.30724,2,2,0,9
3950,"Reina Regente, Calle de la",Erregina Erregeordearen Kalea,-1.981509,43.322967,2,1,1,10
4150,"San Cristobal, Calle de",San Kristobal Kalea,-1.972729,43.31671,2,2,0,9
4420,"Sarriegi, Plaza de",Sarriegi Plaza,-1.983697,43.322871,2,2,0,5
4430,"Satrustegi, Avenida de",Satrustegi Hiribidea,-2.004948,43.317481,2,2,0,10
4470,"Serapio Mujika, Paseo de",Serapio Mujika Pasealekua,-1.944884,43.322988,2,2,0,6
4480,"Serrano Anguita, Calle de",Serrano Anguita Kalea,-2.003483,43.313955,2,1,1,6
4770,"Txingurriaenea, Paseo de",Txingurriaenea Pasealekua,-1.940804,43.315456,2,2,0,6
6370,"Izaburu, Calle de",Izaburu Kalea,-1.993155,43.311331,2,0,2,4
6530,"Marbil, Camino de",Marbil Bidea,-2.008534,43.316433,2,1,1,8
7390,"Vitoria-Gasteiz, Calle de",Vitoria-Gasteiz Kalea,-2.007041,43.313004,2,2,0,7
8100,"Bentaberri, Plaza de",Bentaberri Plaza,-2.004784,43.311982,2,2,0,8
8300,"Melodi, Calle de",Melodi Kalea,-1.991584,43.307076,2,2,0,9
8370,"Resurreccion María de Azkue, Calle de",Resurreccion María De Azkue Kalea,-2.007947,43.310046,2,2,0,6
90,"Alaiondo, Grupo",Alaiondo Auzunea,-1.969617,43.319875,2,2,0,4
1130,"Claudio Antón Luzuriaga, Calle de",Claudio Anton Luzuriaga Kalea,-1.975249,43.323947,1,1,0,6
1220,"Corsarios Vascos, Calle de los",Euskal Kortsarioen Kalea,-1.973095,43.305093,1,1,0,5
1300,"Deporte, Plaza del",Kirol Plaza,-1.996557,43.302864,1,1,0,4
