id,label,theme,unit,year,value,source
ibiltur_ocio_economic_impact,Impatto economico del turismo leisure (IBILTUR Ocio),tourism,M€,2023,500.1,IBILTUR Aisia/Ocio 2023 — ficha Donostia/San Sebastián (Basquetour)
ibiltur_ocio_spend_per_person,Spesa turistica leisure per persona (IBILTUR Ocio),tourism,€,2023,606.1,IBILTUR Aisia/Ocio 2023 — ficha Donostia/San Sebastián (Basquetour)
ibiltur_ocio_spend_per_person_day,Spesa turistica leisure per persona e giorno (IBILTUR Ocio),tourism,€/giorno,2023,194.7,IBILTUR Aisia/Ocio 2023 — ficha Donostia/San Sebastián (Basquetour)
job_concentration_ratio,Rapporto impieghi localizzati / occupati residenti,economy,ratio,2021,1.2376086370463562,"Eustat — empleo localizado (DIRAE est07) / ocupados residentes (EMPA mt02), Donostia / San Sebastián; >1 = la ciudad importa trabajadores"
job_concentration_ratio,Rapporto impieghi localizzati / occupati residenti,economy,ratio,2022,1.1929627388259705,"Eustat — empleo localizado (DIRAE est07) / ocupados residentes (EMPA mt02), Donostia / San Sebastián; >1 = la ciudad importa trabajadores"
job_concentration_ratio,Rapporto impieghi localizzati / occupati residenti,economy,ratio,2023,1.1821207115324763,"Eustat — empleo localizado (DIRAE est07) / ocupados residentes (EMPA mt02), Donostia / San Sebastián; >1 = la ciudad importa trabajadores"
job_concentration_ratio,Rapporto impieghi localizzati / occupati residenti,economy,ratio,2024,1.2047687500742519,"Eustat — empleo localizado (DIRAE est07) / ocupados residentes (EMPA mt02), Donostia / San Sebastián; >1 = la ciudad importa trabajadores"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,1995,65962.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,1996,66561.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,1997,68295.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,1998,69917.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,1999,72186.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,2000,73478.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,2001,74752.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,2002,77492.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,2003,79324.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,2004,80078.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,2005,83711.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,2006,86374.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,2007,92810.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,2008,94755.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,2009,96425.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,2010,93401.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,2011,91655.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,2012,88754.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,2013,88150.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,2014,87507.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,2015,88237.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,2016,89626.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,2017,92455.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,2018,93867.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,2019,96160.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,2020,97664.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,2021,96406.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,2022,96593.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,2023,98752.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,2024,101409.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
jobs_located,Impieghi localizzati in città (Eustat DIRAE),economy,persone,2025,103446.0,"Eustat — Personas empleadas en establecimientos por ámbitos territoriales (DIRAE, tabla PX_200163_cdirae_est07), Donostia / San Sebastián"
mice_attendees,Partecipanti a congressi,tourism,persone,2024,259000.0,Donostitik 2024 (188 congresos; 259.000 asistentes)
mice_events_total,Eventi professionali (totale),tourism,eventi,2023,175.0,Derivado de +7.43% sobre 188 (Nexotur 2024)
mice_events_total,Eventi professionali (totale),tourism,eventi,2024,188.0,Donostitik/Nexotur 2024 (récord; 50% internacional)
mice_icca_congresses,Congressi internazionali (ICCA),tourism,congressi,2018,16.0,ICCA Statistics Report 2018 — San Sebastián (puesto 180 mundial)
mice_icca_congresses,Congressi internazionali (ICCA),tourism,congressi,2019,12.0,ICCA Statistics Report 2019 (puesto 221 mundial; 112 europeo)
mice_icca_congresses,Congressi internazionali (ICCA),tourism,congressi,2023,15.0,ICCA 2023 (7º a nivel estatal)
mice_icca_congresses,Congressi internazionali (ICCA),tourism,congressi,2025,13.0,ICCA 2025 — Crónica Vasca 29/05/2026 (puesto 211 mundial; 7º estatal)
pct_language_model_a,Alunni in modello linguistico A (%),demography,%,1983/1984,70.91,"Eustat — Alumnado matriculado en Enseñanzas de Régimen General no universitarias por municipio y modelo lingüístico (tabla PX_040601_ceens_mun01), Donostia-San Sebastián"
pct_language_model_a,Alunni in modello linguistico A (%),demography,%,1984/1985,72.39,"Eustat — Alumnado matriculado en Enseñanzas de Régimen General no universitarias por municipio y modelo lingüístico (tabla PX_040601_ceens_mun01), Donostia-San Sebastián"
pct_language_model_a,Alunni in modello linguistico A (%),demography,%,1985/1986,68.77,"Eustat — Alumnado matriculado en Enseñanzas de Régimen General no universitarias por municipio y modelo lingüístico (tabla PX_040601_ceens_mun01), Donostia-San Sebastián"
pct_language_model_a,Alunni in modello linguistico A (%),demography,%,1986/1987,63.5,"Eustat — Alumnado matriculado en Enseñanzas de Régimen General no universitarias por municipio y modelo lingüístico (tabla PX_040601_ceens_mun01), Donostia-San Sebastián"
pct_language_model_a,Alunni in modello linguistico A (%),demography,%,1987/1988,63.5,"Eustat — Alumnado matriculado en Enseñanzas de Régimen General no universitarias por municipio y modelo lingüístico (tabla PX_040601_ceens_mun01), Donostia-San Sebastián"
pct_language_model_a,Alunni in modello linguistico A (%),demography,%,1988/1989,61.77,"Eustat — Alumnado matriculado en Enseñanzas de Régimen General no universitarias por municipio y modelo lingüístico (tabla PX_040601_ceens_mun01), Donostia-San Sebastián"
pct_language_model_a,Alunni in modello linguistico A (%),demography,%,1989/1990,60.22,"Eustat — Alumnado matriculado en Enseñanzas de Régimen General no universitarias por municipio y modelo lingüístico (tabla PX_040601_ceens_mun01), Donostia-San Sebastián"
pct_language_model_a,Alunni in modello linguistico A (%),demography,%,1990/1991,57.94,"Eustat — Alumnado matriculado en Enseñanzas de Régimen General no universitarias por municipio y modelo lingüístico (tabla PX_040601_ceens_mun01), Donostia-San Sebastián"
pct_language_model_a,Alunni in modello linguistico A (%),demography,%,1991/1992,55.58,"Eustat — Alumnado matriculado en Enseñanzas de Régimen General no universitarias por municipio y modelo lingüístico (tabla PX_040601_ceens_mun01), Donostia-San Sebastián"
pct_language_model_a,Alunni in modello linguistico A (%),demography,%,1992/1993,53.06,"Eustat — Alumnado matriculado en Enseñanzas de Régimen General no universitarias por municipio y modelo lingüístico (tabla PX_040601_ceens_mun01), Donostia-San Sebastián"
pct_language_model_a,Alunni in modello linguistico A (%),demography,%,1993/1994,49.73,"Eustat — Alumnado matriculado en Enseñanzas de Régimen General no universitarias por municipio y modelo lingüístico (tabla PX_040601_ceens_mun01), Donostia-San Sebastián"
pct_language_model_a,Alunni in modello linguistico A (%),demography,%,1994/1995,47.61,"Eustat — Alumnado matriculado en Enseñanzas de Régimen General no universitarias por municipio y modelo lingüístico (tabla PX_040601_ceens_mun01), Donostia-San Sebastián"
pct_language_model_a,Alunni in modello linguistico A (%),demography,%,1995/1996,45.3,"Eustat — Alumnado matriculado en Enseñanzas de Régimen General no universitarias por municipio y modelo lingüístico (tabla PX_040601_ceens_mun01), Donostia-San Sebastián"
pct_language_model_a,Alunni in modello linguistico A (%),demography,%,1996/1997,43.39,"Eustat — Alumnado matriculado en Enseñanzas de Régimen General no universitarias por municipio y modelo lingüístico (tabla PX_040601_ceens_mun01), Donostia-San Sebastián"
pct_language_model_a,Alunni in modello linguistico A (%),demography,%,1997/1998,39.42,"Eustat — Alumnado matriculado en Enseñanzas de Régimen General no universitarias por municipio y modelo lingüístico (tabla PX_040601_ceens_mun01), Donostia-San Sebastián"
pct_language_model_a,Alunni in modello linguistico A (%),demography,%,1998/1999,35.88,"Eustat — Alumnado matriculado en Enseñanzas de Régimen General no universitarias por municipio y modelo lingüístico (tabla PX_040601_ceens_mun01), Donostia-San Sebastián"
pct_language_model_a,Alunni in modello linguistico A (%),demography,%,1999/2000,33.02,"Eustat — Alumnado matriculado en Enseñanzas de Régimen General no universitarias por municipio y modelo lingüístico (tabla PX_040601_ceens_mun01), Donostia-San Sebastián"
