indicator_id,year,value,source
mice_icca_congresses,2018,16,ICCA Statistics Report 2018 — San Sebastián (puesto 180 mundial)
mice_icca_congresses,2019,12,ICCA Statistics Report 2019 (puesto 221 mundial; 112 europeo)
mice_icca_congresses,2023,15,ICCA 2023 (7º a nivel estatal)
mice_icca_congresses,2025,13,ICCA 2025 — Crónica Vasca 29/05/2026 (puesto 211 mundial; 7º estatal)
mice_events_total,2023,175,Derivado de +7.43% sobre 188 (Nexotur 2024)
mice_events_total,2024,188,Donostitik/Nexotur 2024 (récord; 50% internacional)
mice_attendees,2024,259000,Donostitik 2024 (188 congresos; 259.000 asistentes)
