indicator_id,year,value,source
ibiltur_ocio_spend_per_person,2023,606.1,IBILTUR Aisia/Ocio 2023 — ficha Donostia/San Sebastián (Basquetour)
ibiltur_ocio_spend_per_person_day,2023,194.7,IBILTUR Aisia/Ocio 2023 — ficha Donostia/San Sebastián (Basquetour)
ibiltur_ocio_economic_impact,2023,500.1,IBILTUR Aisia/Ocio 2023 — ficha Donostia/San Sebastián (Basquetour)
